State,City by state,Population,Crime Index  ,Modified Crime Index1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,
,Springfield,"153,675","12,066","12,150",4,102,222,733,"1,882","8,352",771,84,,,,,
,St. Ann,"13,795","1,242","1,244",0,6,14,55,77,981,109,2,,,,,
,St. Charles,"61,155","1,842","1,857",1,16,27,69,250,"1,350",129,15,,,,,
,St. Joseph,"75,013","4,738","4,758",0,20,67,106,689,"3,652",204,20,,,,,
,St. Louis,"353,004","50,429","51,014",111,136,"2,818","4,434","7,059","26,036","9,835",585,,,,,
,St. Peters,"52,092","1,672","1,672",2,14,33,107,166,"1,296",54,0,,,,,
,Town and Country,"11,045",261,265,0,1,2,17,19,214,8,4,,,,,
,University City,"37,946","2,220","2,236",4,13,65,76,392,"1,467",203,16,,,,,
,Warrensburg,"16,566",574,577,0,4,8,21,81,430,30,3,,,,,
,Washington,"13,426",366,369,0,3,2,13,29,295,24,3,,,,,
,Webster Groves,"23,551",320,322,0,1,6,15,40,222,36,2,,,,,
,West Plains,"11,016",797,800,0,4,1,77,127,548,40,3,,,,,
MONTANA,Billings,"90,569","4,846",,0,13,59,143,407,"3,943",281,,,,,,
,Bozeman,"27,730","1,764",,0,22,12,77,121,"1,460",72,,,,,,
,Great Falls,"57,146","4,529",,4,16,32,215,333,"3,765",164,,,,,,
,Kalispell,"14,337",949,,1,0,5,48,74,779,42,,,,,,
NEBRASKA,Beatrice,"12,627",823,827,0,3,2,21,160,591,46,4,,,,,
,Bellevue,"44,847","1,678","1,698",0,12,19,24,181,"1,286",156,20,,,,,
,Columbus,"21,191",561,563,0,5,4,3,76,449,24,2,,,,,
,Fremont,"25,437","1,083","1,088",0,5,9,8,170,859,32,5,,,,,
,Grand Island,"43,389","2,894","2,895",2,16,22,94,474,"2,169",117,1,,,,,
,Hastings,"24,316","1,266","1,269",0,13,10,18,154,"1,018",53,3,,,,,
,Kearney,"27,719","1,346","1,358",0,15,4,54,232,"1,000",41,12,,,,,
,La Vista,"11,821",403,409,0,3,8,5,37,310,40,6,,,,,
,Lexington,"10,115",413,414,0,0,2,15,47,327,22,1,,,,,
,Lincoln,"227,943","15,005","15,031",6,98,179,992,"2,014","11,190",526,26,,,,,
,Norfolk,"23,763","1,439","1,443",6,19,9,17,190,"1,136",62,4,,,,,
,Omaha,"394,090","28,781","29,049",26,173,998,"1,632","3,220","18,490","4,242",268,,,,,
,Papillion,"16,534",351,352,0,3,1,4,22,302,19,1,,,,,
,Scottsbluff,"14,887",965,967,0,6,9,36,125,758,31,2,,,,,
,South Sioux City,"12,050",431,433,0,2,6,5,47,351,20,2,,,,,
NEVADA,Boulder City,"16,278",323,326,0,0,6,55,87,150,25,3,,,,,
,Elko,"18,174",632,641,1,7,6,23,148,419,28,9,,,,,
,Henderson,"190,761","5,781","5,837",4,104,200,146,"1,470","2,705","1,152",56,,,,,
,Las Vegas Metropolitan Police Department,"1,153,546","56,810","57,080",137,494,"3,776","4,574","11,136","24,204","12,489",270,,,,,
,Mesquite,"10,212",243,243,0,0,4,10,17,173,39,0,,,,,
,North Las Vegas,"125,616","7,367","7,435",19,57,449,769,"1,525","3,029","1,519",68,,,,,
,Reno,"196,307","11,626","11,690",9,126,450,899,"1,288","7,748","1,106",64,,,,,
,Sparks,"72,164","3,741",,2,52,102,193,673,"2,407",312,,,,,,
NEW HAMPSHIRE,Amherst,"11,111",190,191,0,1,3,1,6,178,1,1,,,,,
,Bedford,"18,855",228,230,0,3,3,4,23,181,14,2,,,,,
,Berlin,"10,659",174,175,0,13,1,10,18,118,14,1,,,,,
,Claremont,"13,569",325,330,0,4,4,16,36,242,23,5,,,,,
,Derry,"35,102",829,875,0,9,5,55,164,523,73,46,,,,,
,Exeter,"14,505",192,197,0,2,3,5,21,153,8,5,,,,,
,Hampton,"15,412",512,516,0,13,7,21,78,363,30,4,,,,,
,Hanover,"11,195",106,111,0,1,1,2,14,82,6,5,,,,,
,Hooksett,"12,094",298,300,0,10,2,2,26,247,11,2,,,,,
,Hudson,"23,656",373,377,0,7,8,21,59,247,31,4,,,,,
,Keene,"23,280",762,774,0,12,4,23,110,576,37,12,,,,,
,Lebanon,"12,968",542,546,1,4,2,22,63,434,16,4,,,,,
,Londonderry,"23,974",285,294,0,9,6,23,51,155,41,9,,,,,
,Manchester,"110,406","3,545","3,599",0,44,116,82,617,"2,441",245,54,,,,,
,Merrimack,"25,917",284,285,0,0,0,0,36,237,11,1,,,,,
,Milford,"13,965",219,221,0,8,2,17,26,149,17,2,,,,,
,Portsmouth,"21,444",860,871,0,20,13,22,97,653,55,11,,,,,
,Rochester,"29,366",834,837,0,41,3,17,82,658,33,3,,,,,
,Somersworth,"11,842",539,548,0,0,2,19,56,420,42,9,,,,,
,Windham,"11,049",160,164,0,1,3,5,34,103,14,4,,,,,
NEW JERSEY,Aberdeen Township,"17,819",377,381,0,2,13,18,57,256,31,4,,,,,
,Asbury Park,"17,284","1,259","1,265",3,9,171,163,246,525,142,6,,,,,
,Atlantic City,"41,364","5,346","5,402",5,21,283,354,482,"4,031",170,56,,,,,
,Barnegat Township,"15,590",178,180,0,2,7,14,29,117,9,2,,,,,
,Bayonne,"63,135","1,099","1,103",4,3,93,108,186,584,121,4,,,,,
,Beachwood,"10,592",239,239,0,0,1,11,28,193,6,0,,,,,
,Belleville,"36,679","1,142","1,148",0,11,57,57,213,560,244,6,,,,,
,Bellmawr,"11,498",246,246,0,1,6,10,27,176,26,0,,,,,
,Bergenfield,"26,796",322,323,1,0,10,15,42,234,20,1,,,,,
,Berkeley Heights Township,"13,687",79,79,0,0,0,3,22,42,12,0,,,,,
,Berkeley Township,"40,827",659,665,0,4,11,52,155,424,13,6,,,,,
,Bernards Township,"25,089",232,234,0,0,2,12,49,157,12,2,,,,,
,Bloomfield,"48,680","2,066","2,071",0,11,106,49,287,"1,083",530,5,,,,,
,Bound Brook,"10,368",301,302,0,3,13,8,88,180,9,1,,,,,
,Branchburg Township,"14,871",162,168,0,0,0,0,29,123,10,6,,,,,
,Brick Township,"77,710","1,410","1,415",0,1,28,63,221,"1,039",58,5,,,,,
,Bridgeton,"23,247","1,297","1,301",3,12,103,186,268,643,82,4,,,,,
,Bridgewater Township,"43,838",712,714,0,0,7,12,97,549,47,2,,,,,
,Brigantine,"12,858",254,256,0,0,4,24,58,161,7,2,,,,,
,Burlington Township,"20,718",624,633,1,4,25,19,70,453,52,9,,,,,
,Camden,"81,575","6,125","6,347",33,45,607,797,"1,155","2,407","1,081",222,,,,,
,Carteret,"21,142",445,446,1,4,20,25,84,256,55,1,,,,,
,Cedar Grove Township,"12,557",225,226,0,1,0,12,24,175,13,1,,,,,
,Chatham Township,"10,297",58,59,0,0,1,0,8,47,2,1,,,,,
,Cherry Hill Township,"71,428","2,274","2,277",1,8,56,67,257,"1,774",111,3,,,,,
,Cinnaminson Township,"14,900",319,321,0,0,11,9,51,224,24,2,,,,,
,Clark Township,"14,902",204,204,1,0,3,3,17,159,21,0,,,,,
,Cliffside Park,"23,489",278,278,0,0,6,21,69,157,25,0,,,,,
,Clifton,"80,317","2,627","2,633",0,7,117,82,417,"1,572",432,6,,,,,
,Clinton Township,"13,228",123,123,0,0,1,0,29,92,1,0,,,,,
,Collingswood,"14,626",416,417,0,0,19,12,86,263,36,1,,,,,
,Colts Neck Township,"12,589",145,146,0,0,2,17,29,93,4,1,,,,,
,Cranford Township,"23,050",448,449,0,2,5,11,70,320,40,1,,,,,
,Delran Township,"15,861",404,405,0,1,8,10,79,273,33,1,,,,,
,Denville Township,"16,155",222,224,0,0,2,13,23,167,17,2,,,,,
,Deptford Township,"27,323","1,741","1,748",0,1,63,86,269,"1,199",123,7,,,,,
,Dover,"18,568",495,500,1,1,15,33,96,309,40,5,,,,,
,Dover Township,"91,582","2,542","2,564",11,9,46,123,432,"1,829",92,22,,,,,
,Dumont,"17,869",264,264,1,4,3,20,69,158,9,0,,,,,
,East Brunswick Township,"47,734","1,102","1,107",0,7,9,27,122,879,58,5,,,,,
,East Hanover Township,"11,631",269,271,0,0,1,6,27,207,28,2,,,,,
,East Orange,"71,284","5,954","6,063",16,54,698,752,912,"1,999","1,523",109,,,,,
,East Windsor Township,"25,441",523,524,0,1,11,18,107,364,22,1,,,,,
,Eatontown,"14,301",688,690,1,3,14,10,77,552,31,2,,,,,
,Edison Township,"99,731","2,578","2,588",0,15,70,138,358,"1,600",397,10,,,,,
,Egg Harbor Township,"31,368","1,348","1,364",0,8,31,63,213,959,74,16,,,,,
,Elizabeth,"123,088","7,149","7,165",13,30,571,291,"1,050","3,400","1,794",16,,,,,
,Elmwood Park,"19,321",519,519,1,0,20,26,75,317,80,0,,,,,
,Englewood,"26,751",661,665,1,1,25,41,167,375,51,4,,,,,
,Evesham Township,"43,159",675,685,1,11,18,9,124,490,22,10,,,,,
,Ewing Township,"36,454","1,139","1,142",0,7,37,37,159,707,192,3,,,,,
,Fair Lawn,"32,299",567,567,0,5,26,21,151,336,28,0,,,,,
,Fairview,"13,532",118,118,0,0,5,11,24,42,36,0,,,,,
,Florence Township,"10,971",211,212,0,0,3,7,48,142,11,1,,,,,
,Fort Lee,"36,203",814,816,1,1,14,2,91,653,52,2,,,,,
,Franklin Lakes,"10,640",144,144,0,0,0,1,23,118,2,0,,,,,
,Franklin Township (Gloucester County),"15,790",423,428,0,3,3,24,116,248,29,5,,,,,
,Franklin Township (Somerset County),"51,967","1,141","1,157",0,5,41,40,228,682,145,16,,,,,
,Freehold,"11,205",484,491,1,1,36,52,57,313,24,7,,,,,
,Freehold Township,"32,197","1,043","1,049",0,1,22,28,68,885,39,6,,,,,
,Galloway Township,"31,862",938,958,1,7,15,34,223,625,33,20,,,,,
,Garfield,"30,409",583,586,1,1,18,18,92,346,107,3,,,,,
,Glassboro,"19,466",801,810,0,9,33,37,132,554,36,9,,,,,
,Glen Rock,"11,788",136,137,0,0,1,1,13,117,4,1,,,,,
,Gloucester City,"11,724",266,267,1,2,12,17,31,184,19,1,,,,,
,Gloucester Township,"65,696","1,625","1,642",0,16,55,115,302,"1,035",102,17,,,,,
,Guttenberg,"11,033",266,268,0,0,20,38,72,103,33,2,,,,,
,Hackensack,"43,562","1,317","1,320",1,0,45,79,87,974,131,3,,,,,
,Hackettstown,"10,621",172,172,0,0,3,11,22,129,7,0,,,,,
,Haddonfield,"11,903",213,215,0,0,1,5,15,186,6,2,,,,,
,Haddon Township,"14,957",419,421,0,1,12,16,82,283,25,2,,,,,
,Hamilton Township (Atlantic County),"20,928","1,028","1,041",1,5,36,65,152,728,41,13,,,,,
,Hamilton Township (Mercer County),"88,931","2,235","2,240",1,7,89,61,448,"1,371",258,5,,,,,
,Hammonton,"12,868",253,256,2,3,6,16,55,148,23,3,,,,,
,Hanover Township,"13,167",125,125,0,1,2,13,31,59,19,0,,,,,
,Harrison,"14,726",473,474,0,1,24,25,109,207,107,1,,,,,
,Hasbrouck Heights,"11,906",196,196,0,0,4,0,29,133,30,0,,,,,
,Hawthorne,"18,599",344,346,0,3,3,3,46,260,29,2,,,,,
,Hazlet Township,"21,825",305,306,0,0,4,6,42,236,17,1,,,,,
,Highland Park,"14,292",260,260,0,1,1,2,54,186,16,0,,,,,
,Hillsborough Township,"37,400",360,364,0,5,3,11,82,251,8,4,,,,,
,Hillsdale,"10,298",100,101,0,0,0,3,10,85,2,1,,,,,
,Hillside Township,"22,202","1,043","1,045",0,4,72,33,212,445,277,2,,,,,
,Hoboken,"39,384","1,530","1,532",1,0,68,109,285,872,195,2,,,,,
,Holmdel Township,"16,111",233,237,0,0,1,11,28,189,4,4,,,,,
,Hopatcong,"16,221",153,153,0,0,0,7,24,114,8,0,,,,,
,Hopewell Township,"16,442",125,126,0,0,3,13,34,73,2,1,,,,,
,Howell Township,"49,925",731,735,0,2,6,44,122,511,46,4,,,,,
,Irvington,"61,964","5,415","5,468",15,45,862,776,"1,077","1,123","1,517",53,,,,,
,Jackson Township,"43,711",546,552,0,1,7,42,98,357,41,6,,,,,
,Jefferson Township,"20,130",200,200,0,1,0,8,54,123,14,0,,,,,
,Jersey City,"245,075","12,182","12,213",21,86,"1,381","1,419","2,285","4,694","2,296",31,,,,,
,Keansburg,"10,956",413,416,2,3,6,31,95,255,21,3,,,,,
,Kearny,"41,360","1,210","1,220",0,5,38,56,184,724,203,10,,,,,
,Lacey Township,"25,876",504,505,1,0,3,22,56,408,14,1,,,,,
,Lakewood Township,"61,614","1,785","1,800",2,13,90,116,426,"1,004",134,15,,,,,
,Lawrence Township,"29,768","1,177","1,181",0,6,31,31,156,853,100,4,,,,,
,Lincoln Park,"11,159",132,133,0,1,3,5,11,107,5,1,,,,,
,Linden,"40,218","1,879","1,880",1,8,79,57,212,"1,126",396,1,,,,,
,Lindenwold,"17,778",788,797,3,8,38,67,238,346,88,9,,,,,
,Little Egg Harbor Township,"16,278",464,466,0,6,3,24,70,347,14,2,,,,,
,Little Falls Township,"11,082",415,415,0,1,4,13,42,272,83,0,,,,,
,Little Ferry,"11,026",135,135,1,1,5,13,21,67,27,0,,,,,
,Livingston Township,"27,964",685,686,0,0,7,13,39,570,56,1,,,,,
,Lodi,"24,473",529,532,0,0,11,43,64,335,76,3,,,,,
,Long Branch,"31,995","1,046","1,047",1,2,43,97,262,586,55,1,,,,,
,Lower Township,"23,425",565,565,0,5,2,31,86,419,22,0,,,,,
,Lumberton Township,"10,679",373,380,1,4,11,11,55,273,18,7,,,,,
,Lyndhurst Township,"19,788",402,403,0,4,13,14,55,275,41,1,,,,,
,Madison,"16,876",190,190,0,0,3,6,16,158,7,0,,,,,
,Mahwah Township,"24,565",280,280,0,0,5,1,29,215,30,0,,,,,
,Manalapan Township,"34,122",327,327,0,0,3,28,69,212,15,0,,,,,
,Manchester Township,"39,742",336,341,1,2,1,24,80,204,24,5,,,,,
,Mantua Township,"14,514",303,306,0,1,5,8,39,235,15,3,,,,,
,Manville,"10,559",222,222,0,0,3,4,35,165,15,0,,,,,
,Maple Shade Township,"19,478",599,602,1,7,25,43,97,347,79,3,,,,,
,Maplewood Township,"24,367",672,674,0,2,52,39,111,324,144,2,,,,,
,Marlboro Township,"37,160",459,461,1,1,8,20,94,316,19,2,,,,,
,Medford Township,"22,718",376,376,1,0,2,9,76,275,13,0,,,,,
,Metuchen,"13,109",284,287,0,0,5,9,58,194,18,3,,,,,
,Middlesex,"14,004",151,151,0,0,3,11,25,101,11,0,,,,,
,Middle Township,"16,748",612,623,0,5,10,42,117,401,37,11,,,,,
,Middletown Township,"67,714",856,859,0,2,4,40,127,626,57,3,,,,,
,Millburn Township,"20,178",810,810,0,2,10,9,58,665,66,0,,,,,
,Millville,"27,409","1,590","1,603",0,15,61,104,386,951,73,13,,,,,
,Monroe Township (Gloucester County),"29,573",879,884,1,6,12,29,193,577,61,5,,,,,
,Monroe Township (Middlesex County),"28,584",307,311,0,2,5,10,46,232,12,4,,,,,
,Montclair,"39,792","1,355","1,357",0,6,52,72,320,682,223,2,,,,,
,Montgomery Township,"17,847",171,171,0,0,1,1,22,142,5,0,,,,,
,Montville Township,"21,275",256,259,0,1,2,8,42,165,38,3,,,,,
,Moorestown Township,"19,415",531,532,0,5,11,11,48,428,28,1,,,,,
,Morristown,"18,932",749,750,0,13,47,57,81,487,64,1,,,,,
,Morris Township,"22,252",212,213,0,1,5,24,23,131,28,1,,,,,
,Mount Holly Township,"10,952",576,584,1,2,35,71,87,347,33,8,,,,,
,Mount Laurel Township,"41,063",864,871,0,9,34,14,202,560,45,7,,,,,
,Mount Olive Township,"24,699",373,373,0,8,0,25,76,250,14,0,,,,,
,Neptune Township,"32,614","1,445","1,449",2,1,50,67,251,930,144,4,,,,,
,Newark,"279,269","17,814","18,061",65,88,"1,567","1,473","2,253","6,033","6,335",247,,,,,
,New Brunswick,"49,589","2,940","2,945",3,14,219,122,636,"1,625",321,5,,,,,
,New Milford,"16,743",136,136,0,0,2,8,23,97,6,0,,,,,
,New Providence,"12,156",150,150,0,0,0,2,25,116,7,0,,,,,
,North Arlington,"15,499",193,193,0,0,5,13,23,137,15,0,,,,,
,North Bergen Township,"59,307","1,493","1,498",0,4,66,58,226,869,270,5,,,,,
,North Brunswick Township,"37,045","1,220","1,223",0,4,44,60,169,849,94,3,,,,,
,North Plainfield,"21,545",664,664,0,3,28,13,151,415,54,0,,,,,
,Nutley Township,"27,934",567,570,0,0,9,39,126,309,84,3,,,,,
,Oakland,"12,726",136,139,0,0,0,8,27,93,8,3,,,,,
,Ocean City,"15,700",972,973,1,0,7,23,151,784,6,1,,,,,
,Ocean Township (Monmouth County),"27,523",652,654,0,1,5,12,92,515,27,2,,,,,
,Old Bridge Township,"61,720","1,025","1,033",0,12,16,34,215,601,147,8,,,,,
,Orange,"33,555","2,354","2,361",4,8,275,170,437,795,665,7,,,,,
,Palisades Park,"17,430",189,189,0,1,5,8,77,81,17,0,,,,,
,Paramus,"26,275","2,209","2,218",0,4,50,50,118,"1,781",206,9,,,,,
,Parsippany-Troy Hills Township,"51,708",912,916,0,3,21,37,244,491,116,4,,,,,
,Passaic,"69,280","3,345","3,353",4,5,374,482,464,"1,396",620,8,,,,,
,Paterson,"152,340","6,842","6,861",15,29,653,468,"1,595","2,645","1,437",19,,,,,
,Pemberton Township,"29,291",722,729,1,7,28,45,164,421,56,7,,,,,
,Pennsauken Township,"36,484","1,383","1,386",1,6,76,83,265,766,186,3,,,,,
,Pennsville Township,"13,470",361,364,0,0,1,10,55,281,14,3,,,,,
,Pequannock Township,"14,179",205,208,0,0,1,7,21,158,18,3,,,,,
,Perth Amboy,"48,292","1,697","1,703",1,10,95,139,358,883,211,6,,,,,
,Phillipsburg,"15,483",280,283,1,2,8,11,56,182,20,3,,,,,
,Pine Hill,"11,107",263,265,0,0,9,20,46,168,20,2,,,,,
,Piscataway Township,"51,538","1,124","1,141",1,4,28,41,140,796,114,17,,,,,
,Plainfield,"48,829","2,413","2,424",1,19,255,241,449,"1,135",313,11,,,,,
,Plainsboro Township,"20,637",197,200,0,0,2,7,29,148,11,3,,,,,
,Pleasantville,"19,410",860,870,1,1,75,86,161,472,64,10,,,,,
,Point Pleasant,"19,710",396,396,0,4,1,12,76,294,9,0,,,,,
,Pompton Lakes,"10,862",173,173,0,0,2,6,34,120,11,0,,,,,
,Princeton,"14,500",527,527,0,1,8,10,100,404,4,0,,,,,
,Princeton Township,"16,362",243,246,0,1,2,5,57,161,17,3,,,,,
,Rahway,"27,054",863,868,0,2,32,33,133,519,144,5,,,,,
,Ramsey,"14,651",221,221,0,1,4,12,19,167,18,0,,,,,
,Randolph Township,"25,367",246,246,0,0,1,9,26,200,10,0,,,,,
,Raritan Township,"20,223",196,197,0,0,1,8,38,138,11,1,,,,,
,Readington Township,"16,134",158,159,0,0,0,3,48,99,8,1,,,,,
,Red Bank,"12,091",360,361,0,5,19,19,27,276,14,1,,,,,
,Ridgefield,"11,057",97,97,0,0,3,4,25,42,23,0,,,,,
,Ridgefield Park,"13,142",304,321,0,0,9,10,45,190,50,17,,,,,
,Ridgewood,"25,458",310,312,0,2,4,10,57,230,7,2,,,,,
,Ringwood,"12,656",93,93,0,1,0,4,16,67,5,0,,,,,
,River Edge,"11,175",113,114,0,0,2,3,18,87,3,1,,,,,
,Rockaway Township,"23,410",468,471,0,9,9,18,50,346,36,3,,,,,
,Roselle,"21,719",620,624,1,1,39,24,172,276,107,4,,,,,
,Roselle Park,"13,559",252,252,0,0,10,4,56,140,42,0,,,,,
,Roxbury Township,"24,383",311,312,2,0,0,14,46,236,13,1,,,,,
,Rutherford,"18,488",352,353,0,0,6,11,41,244,50,1,,,,,
,Saddle Brook Township,"13,430",314,315,0,1,5,5,38,222,43,1,,,,,
,Sayreville,"41,221",835,849,0,11,19,48,168,493,96,14,,,,,
,Scotch Plains Township,"23,207",300,300,0,1,16,4,38,232,9,0,,,,,
,Secaucus,"16,264",666,666,0,0,9,5,19,483,150,0,,,,,
,Somers Point,"11,857",352,354,0,4,14,17,58,254,5,2,,,,,
,Somerville,"12,683",298,299,0,1,16,19,39,208,15,1,,,,,
,South Brunswick Township,"38,523",639,644,2,2,14,22,162,396,41,5,,,,,
,South Orange,"17,319",724,724,1,0,51,22,130,360,160,0,,,,,
,South Plainfield,"22,266",542,544,1,3,13,18,60,406,41,2,,,,,
,South River,"15,642",199,200,1,1,7,18,58,105,9,1,,,,,
,Sparta Township,"18,458",84,86,0,0,1,4,21,54,4,2,,,,,
,Springfield,"14,731",354,356,0,1,8,3,49,220,73,2,,,,,
,Stafford Township,"23,003",589,590,0,4,3,22,84,457,19,1,,,,,
,Summit,"21,573",480,480,0,1,13,9,82,347,28,0,,,,,
,Teaneck Township,"40,080",885,901,0,1,40,34,237,506,67,16,,,,,
,Tenafly,"14,095",141,147,0,0,1,0,65,62,13,6,,,,,
,Tinton Falls,"15,368",314,318,1,2,2,9,46,220,34,4,,,,,
,Totowa,"10,099",426,427,0,0,5,6,28,299,88,1,,,,,
,Trenton,"87,189","6,199","6,246",19,67,706,739,"1,173","2,400","1,095",47,,,,,
,Union City,"68,491","2,212","2,213",3,5,177,125,474,899,529,1,,,,,
,Union Township,"55,543","2,273","2,277",1,11,119,72,329,"1,302",439,4,,,,,
,Ventnor City,"13,179",315,315,0,1,8,12,91,193,10,0,,,,,
,Vernon Township,"25,202",292,293,0,1,2,15,67,192,15,1,,,,,
,Verona,"13,816",223,225,1,2,3,8,33,145,31,2,,,,,
,Vineland,"57,448","3,733","3,757",4,8,221,220,809,"2,265",206,24,,,,,
,Voorhees Township,"28,714",879,888,0,3,19,48,94,677,38,9,,,,,
,Wallington,"11,825",184,186,0,1,5,16,29,118,15,2,,,,,
,Wall Township,"25,790",342,344,0,3,5,22,74,228,10,2,,,,,
,Wanaque,"10,481",127,127,0,0,1,6,47,66,7,0,,,,,
,Warren Township,"14,557",155,155,0,1,0,4,16,125,9,0,,,,,
,Washington Township (Gloucester County),"48,099","1,264","1,278",0,7,20,44,465,651,77,14,,,,,
,Washington Township (Mercer County),"10,490",145,147,0,3,1,1,26,102,12,2,,,,,
,Washington Township (Morris County),"17,960",144,144,0,0,0,7,16,111,10,0,,,,,
,Waterford Township,"10,714",202,203,1,6,2,15,34,126,18,1,,,,,
,Wayne Township,"55,200","1,648","1,651",0,3,20,19,167,"1,209",230,3,,,,,
,Weehawken Township,"13,783",501,502,1,1,8,9,72,320,90,1,,,,,
,West Caldwell Township,"11,468",128,128,0,0,1,4,20,93,10,0,,,,,
,West Deptford Township,"19,773",464,464,1,4,12,18,87,314,28,0,,,,,
,Westfield,"30,264",334,334,0,1,1,2,60,263,7,0,,,,,
,West Milford Township,"26,963",386,390,0,0,9,17,96,254,10,4,,,,,
,West New York,"46,725","1,457","1,463",0,3,86,111,266,738,253,6,,,,,
,West Orange,"45,883","1,347","1,353",0,0,49,37,250,713,298,6,,,,,
,West Paterson,"11,216",248,248,0,3,8,11,30,162,34,0,,,,,
,West Windsor Township,"22,365",572,575,1,2,6,9,67,437,50,3,,,,,
,Westwood,"11,229",146,147,0,3,4,12,18,105,4,1,,,,,
,Willingboro Township,"33,699",917,923,0,8,61,58,213,511,66,6,,,,,
,Winslow Township,"35,335","1,010","1,021",5,8,43,126,210,555,63,11,,,,,
,Woodbridge Township,"99,236","3,481","3,505",3,8,72,212,537,"2,130",519,24,,,,,
,Woodbury,"10,523",546,546,0,0,30,22,67,394,33,0,,,,,
,Wyckoff Township,"16,853",130,130,0,2,0,3,17,106,2,0,,,,,
NEW MEXICO,Alamogordo,"36,287","1,215","1,217",1,18,7,78,127,943,41,2,,,,,
,Albuquerque,"457,488","35,762","35,839",51,293,"1,295","3,250","5,452","21,371","4,050",77,,,,,
,Artesia,"10,904",519,521,2,1,5,102,136,267,6,2,,,,,
,Carlsbad,"26,132","1,727","1,739",1,10,28,110,349,"1,146",83,12,,,,,
,Clovis,"33,314","2,239","2,255",4,16,34,142,633,"1,320",90,16,,,,,
,Deming,"14,395",929,941,2,13,11,94,220,533,56,12,,,,,
,Gallup,"20,609","2,613","2,614",6,14,64,319,250,"1,844",116,1,,,,,
,Hobbs,"29,224","2,061","2,064",4,16,27,304,355,"1,320",35,3,,,,,
,Las Vegas,"14,853","1,019","1,029",2,11,11,176,260,516,43,10,,,,,
,Los Alamos,"18,706",257,260,0,0,0,10,122,112,13,3,,,,,
,Los Lunas,"10,233",663,664,2,9,3,214,92,256,87,1,,,,,
,Portales,"11,352",540,543,0,4,0,41,114,364,17,3,,,,,
,Rio Rancho,"52,789","1,443","1,458",1,23,15,101,266,938,99,15,,,,,
,Roswell,"46,190","3,633","3,651",9,36,35,422,704,"2,290",137,18,,,,,
,Santa Fe,"63,435","4,929","4,958",8,38,90,270,"2,059","2,251",213,29,,,,,
,Silver City,"10,754",853,,1,2,7,28,273,527,15,,,,,,
,Sunland Park,"13,573",209,,0,0,6,33,55,102,13,,,,,,
NEW YORK,Amherst Town,"112,024","1,940",,0,9,44,48,194,"1,558",87,,,,,,
,Amsterdam,"18,530",290,,0,2,4,31,60,190,3,,,,,,
,Auburn,"28,846","1,147",,1,14,14,41,196,861,20,,,,,,
,Bethlehem Town,"31,603",623,,0,2,8,16,108,471,18,,,,,,
,Binghamton,"47,832","2,366",,6,21,80,98,260,"1,856",45,,,,,,
,Brighton Town,"35,927","1,032",,0,5,13,3,111,847,53,,,,,,
,Buffalo,"295,441","19,017","19,423",43,185,"1,627","1,902","3,857","9,115","2,288",406,,,,,
,Camillus Town and Village,"23,373",366,,0,0,7,16,32,307,4,,,,,,
,Canandaigua,"11,371",255,,0,5,4,4,31,206,5,,,,,,
,Carmel Town,"33,321",397, ,0,0,3,21,86,263,24,,,,,,
,Cicero Town,"26,360",826,,0,1,12,16,70,694,33,,,,,,
,Clarkstown Town,"78,409","2,112",,1,8,48,96,184,"1,675",100,,,,,,
,Clay Town,"54,327",412,,0,0,7,3,69,329,4,,,,,,
,Cohoes,"15,669",224,,0,0,1,40,41,126,16,,,,,,
,Colonie Town,"76,068","2,795",,0,8,32,37,364,"2,265",89,,,,,,
,Cortland,"18,919",693,,0,11,9,24,99,523,27,,,,,,
,Dewitt Town,"21,093",707,,0,2,8,14,113,532,38,,,,,,
,Dunkirk,"13,257",495,,0,6,14,38,61,362,14,,,,,,
,Eastchester Town,"18,742",298,,0,0,3,11,35,223,26,,,,,,
,East Fishkill Town,"25,833",344,,0,0,2,8,48,265,21,,,,,,
,East Greenbush Town,"15,708",364,,0,2,6,9,58,282,7,,,,,,
,East Hampton Town,"17,627",584,,0,1,3,16,169,368,27,,,,,,
,Endicott Village,"13,162",574,,0,11,13,33,79,424,14,,,,,,
,Fallsburg Town,"11,441",213,,0,1,6,13,96,81,16,,,,,,
,Fishkill Town,"18,699",275,,0,2,2,12,33,213,13,,,,,,
,Floral Park Village,"16,120",118,,0,0,6,1,24,75,12,,,,,,
,Fredonia Village,"10,808",313,,0,3,1,18,20,266,5,,,,,,
,Freeport Village,"44,201","1,212",,1,4,72,111,94,712,218,,,,,,
,Fulton City,"11,968",677,,0,2,11,12,94,544,14,,,,,,
,Garden City Village,"21,879",333,,0,2,8,6,32,265,20,,,,,,
,Gates Town,"29,554","1,172",,1,4,20,7,112,920,108,,,,,,
,Geddes Town,"10,999",210,,0,0,6,1,26,169,8,,,,,,
,Geneva,"13,747",412,,0,2,4,13,55,330,8,,,,,,
,Glen Cove,"26,876",275,,1,0,13,4,35,197,25,,,,,,
,Glens Falls,"14,491",668,,0,2,4,30,117,502,13,,,,,,
,Gloversville,"15,560",589,,0,2,2,35,85,439,26,,,,,,
,Greenburgh Town,"42,228","1,115",,0,3,27,27,135,841,82,,,,,,
